total_pages,text_blocks,unique_fonts,dominant_font,dominant_font_ratio,font_variance,unique_font_sizes,dominant_font_size,avg_font_size_x,multiple_fonts_per_page,rare_fonts_count,tampering_score_prelim,filename,label,tampering_type,doc_type,total_chars,char_count_std,avg_line_length,line_length_std,avg_word_length,word_length_std,avg_space_ratio,space_ratio_std,avg_font_size_y,font_size_std,avg_char_width,char_width_std,text_density,spacing_irregularity,font_size_variance,glyph_consistency_score,detection_score,prediction,predicted_label
1,17,1,Helvetica,1.0,0.0588235294117647,1,10.0,10.0,0,0,0.0,genuine/invoice_INVOICE_0001_genuine.pdf,genuine,none,invoice,657.0,0,37.23529411764706,15.410193004726016,7.152542372881356,10.260692743194214,0.3318112633181126,0,10.0,0.0,37.64705882352941,15.729108184848162,0.657,0,0.0,1.0,0.0,0,genuine
1,17,2,Helvetica,0.6470588235294118,0.1176470588235294,3,12.0,11.529411764705882,0,0,0.3529411764705882,tampered/font_change/invoice_INVOICE_0001_tampered.pdf,tampered,font_change,invoice,657.0,0,37.23529411764706,15.410193004726016,7.152542372881356,10.260692743194214,0.3318112633181126,0,11.529411764705882,0.6056253024110001,37.64705882352941,15.729108184848162,0.657,0,0.0524832040627364,0.9737583979686318,0.22226134669490016,0,genuine
1,17,1,Helvetica,1.0,0.0588235294117647,1,10.0,10.0,0,0,0.0,tampered/character_replace/invoice_INVOICE_0001_tampered.pdf,tampered,character_replace,invoice,658.0,0,37.294117647058826,15.468239589111592,7.169491525423729,10.264555671400691,0.331306990881459,0,10.0,0.0,37.70588235294117,15.78444769155182,0.658,0,0.0,1.0,0.0,0,genuine
1,17,1,Helvetica,1.0,0.0588235294117647,1,10.0,10.0,0,0,0.0,tampered/spacing_alter/invoice_INVOICE_0001_tampered.pdf,tampered,spacing_alter,invoice,674.0,0,38.23529411764706,16.43715093304943,6.0285714285714285,9.665803386270632,0.3486646884272997,0,10.0,0.0,38.64705882352941,16.711887901485994,0.674,0,0.0,1.0,0.0,0,genuine
1,17,3,Courier,0.4117647058823529,0.1764705882352941,1,10.0,10.0,1,0,0.5882352941176471,tampered/embedding_mismatch/invoice_INVOICE_0001_tampered.pdf,tampered,embedding_mismatch,invoice,657.0,0,37.23529411764706,15.410193004726016,7.152542372881356,10.260692743194214,0.3318112633181126,0,10.0,0.0,37.64705882352941,15.729108184848162,0.657,0,0.0,1.0,0.35294117647058826,1,tampered
1,20,1,Helvetica,1.0,0.05,1,10.0,10.0,0,0,0.0,genuine/invoice_INVOICE_0002_genuine.pdf,genuine,none,invoice,816.0,0,39.45,15.134315313221142,6.253164556962025,9.127047513555144,0.3700980392156863,0,10.0,0.0,39.8,15.36098955145794,0.816,0,0.0,1.0,0.0,0,genuine
1,20,2,Helvetica,0.55,0.1,3,12.0,11.45,0,0,0.4499999999999999,tampered/font_change/invoice_INVOICE_0002_tampered.pdf,tampered,font_change,invoice,816.0,0,39.45,15.134315313221142,6.253164556962025,9.127047513555144,0.3700980392156863,0,11.45,0.5894913061275798,39.8,15.36098955145794,0.816,0,0.0514390319483054,0.9742804840258472,0.280287806389661,0,genuine
1,20,1,Helvetica,1.0,0.05,1,10.0,10.0,0,0,0.0,tampered/character_replace/invoice_INVOICE_0002_tampered.pdf,tampered,character_replace,invoice,818.0,0,39.55,15.21997043361123,6.278481012658228,9.136014017231869,0.3691931540342298,0,10.0,0.0,39.9,15.44312144613258,0.818,0,0.0,1.0,0.0,0,genuine
1,20,1,Helvetica,1.0,0.05,1,10.0,10.0,0,0,0.0,tampered/spacing_alter/invoice_INVOICE_0002_tampered.pdf,tampered,spacing_alter,invoice,845.0,0,40.9,16.41615058410467,5.092783505154639,8.408491626169154,0.3917159763313609,0,10.0,0.0,41.25,16.59480340347544,0.845,0,0.0,1.0,0.0,0,genuine
1,20,3,Courier,0.4,0.15,1,10.0,10.0,1,0,0.6,tampered/embedding_mismatch/invoice_INVOICE_0002_tampered.pdf,tampered,embedding_mismatch,invoice,816.0,0,39.45,15.134315313221142,6.253164556962025,9.127047513555144,0.3700980392156863,0,10.0,0.0,39.8,15.36098955145794,0.816,0,0.0,1.0,0.36,1,tampered
1,18,1,Helvetica,1.0,0.0555555555555555,1,10.0,10.0,0,0,0.0,genuine/invoice_INVOICE_0003_genuine.pdf,genuine,none,invoice,706.0,0,37.833333333333336,15.532224567009068,6.907692307692308,9.853891190673515,0.3385269121813031,0,10.0,0.0,38.22222222222222,15.816853021577105,0.706,0,0.0,1.0,0.0,0,genuine
1,18,2,Helvetica,0.6111111111111112,0.1111111111111111,3,12.0,11.5,0,0,0.3888888888888888,tampered/font_change/invoice_INVOICE_0003_tampered.pdf,tampered,font_change,invoice,706.0,0,37.833333333333336,15.532224567009068,6.907692307692308,9.853891190673515,0.3385269121813031,0,11.5,0.6009252125773316,38.22222222222222,15.816853021577105,0.706,0,0.0522089672091513,0.9738955163954244,0.2437751267751635,0,genuine
1,18,1,Helvetica,1.0,0.0555555555555555,1,10.0,10.0,0,0,0.0,tampered/character_replace/invoice_INVOICE_0003_tampered.pdf,tampered,character_replace,invoice,708.0,0,37.94444444444444,15.636397077979534,6.938461538461539,9.861934469427888,0.3375706214689266,0,10.0,0.0,38.333333333333336,15.91644851508443,0.708,0,0.0,1.0,0.0,0,genuine
1,18,1,Helvetica,1.0,0.0555555555555555,1,10.0,10.0,0,0,0.0,tampered/spacing_alter/invoice_INVOICE_0003_tampered.pdf,tampered,spacing_alter,invoice,731.0,0,39.22222222222222,16.883771154427016,5.409638554216867,8.985981243331276,0.3611491108071135,0,10.0,0.0,39.61111111111112,17.114447726633024,0.731,0,0.0,1.0,0.0,0,genuine
1,18,3,Helvetica,0.3888888888888889,0.1666666666666666,1,10.0,10.0,1,0,0.6111111111111112,tampered/embedding_mismatch/invoice_INVOICE_0003_tampered.pdf,tampered,embedding_mismatch,invoice,706.0,0,37.833333333333336,15.532224567009068,6.907692307692308,9.853891190673515,0.3385269121813031,0,10.0,0.0,38.22222222222222,15.816853021577105,0.706,0,0.0,1.0,0.3666666666666667,1,tampered
1,19,1,Helvetica,1.0,0.0526315789473684,1,10.0,10.0,0,0,0.0,genuine/bank_statement_BANK_STATEMENT_0004_genuine.pdf,genuine,none,bank_statement,567.0,0,28.84210526315789,7.909109723635058,6.985915492957746,6.213327243070196,0.091710758377425,0,10.0,0.0,28.84210526315789,7.909109723635058,0.567,0,0.0,1.0,0.0,0,genuine
1,19,2,Times-Bold,0.6842105263157895,0.1052631578947368,3,11.0,11.210526315789474,0,0,0.3157894736842105,tampered/font_change/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,font_change,bank_statement,567.0,0,28.84210526315789,7.909109723635058,6.985915492957746,6.213327243070196,0.091710758377425,0,11.210526315789474,0.5210260492953508,28.84210526315789,7.909109723635058,0.567,0,0.0464350810854714,0.9767824594572644,0.19876070042762053,0,genuine
1,19,1,Helvetica,1.0,0.0526315789473684,1,10.0,10.0,0,0,0.0,tampered/character_replace/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,character_replace,bank_statement,582.0,0,29.63157894736842,7.988218471538599,7.197183098591549,6.285731031493292,0.0893470790378006,0,10.0,0.0,29.63157894736842,7.988218471538599,0.582,0,0.0,1.0,0.0,0,genuine
1,19,1,Helvetica,1.0,0.0526315789473684,1,10.0,10.0,0,0,0.0,tampered/spacing_alter/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,spacing_alter,bank_statement,602.0,0,30.68421052631579,8.052803575734533,4.679245283018868,5.636048344348748,0.1445182724252491,0,10.0,0.0,30.68421052631579,8.052803575734533,0.602,0,0.0,1.0,0.0,0,genuine
1,19,3,Times-Roman,0.4210526315789473,0.1578947368421052,1,10.0,10.0,1,0,0.5789473684210527,tampered/embedding_mismatch/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,embedding_mismatch,bank_statement,567.0,0,28.84210526315789,7.909109723635058,6.985915492957746,6.213327243070196,0.091710758377425,0,10.0,0.0,28.84210526315789,7.909109723635058,0.567,0,0.0,1.0,0.3473684210526316,1,tampered
1,15,1,Helvetica,1.0,0.0666666666666666,1,10.0,10.0,0,0,0.0,genuine/vehicle_registration_VEHICLE_REGISTRATION_0005_genuine.pdf,genuine,none,vehicle_registration,406.0,0,26.066666666666663,9.153991236370915,7.826086956521739,6.783305426868061,0.0763546798029556,0,10.0,0.0,26.066666666666663,9.153991236370915,0.406,0,0.0,1.0,0.0,0,genuine
1,15,1,Helvetica,1.0,0.0666666666666666,1,12.0,12.0,0,0,0.0,tampered/font_change/vehicle_registration_VEHICLE_REGISTRATION_0005_tampered.pdf,tampered,font_change,vehicle_registration,406.0,0,26.066666666666663,9.153991236370915,7.826086956521739,6.783305426868061,0.0763546798029556,0,12.0,0.0,26.066666666666663,9.153991236370915,0.406,0,0.0,1.0,0.0,0,genuine
