filename,label,tampering_type,doc_type,doc_id
genuine/invoice_INVOICE_0001_genuine.pdf,genuine,none,invoice,INVOICE_0001
tampered/font_change/invoice_INVOICE_0001_tampered.pdf,tampered,font_change,invoice,INVOICE_0001
tampered/character_replace/invoice_INVOICE_0001_tampered.pdf,tampered,character_replace,invoice,INVOICE_0001
tampered/spacing_alter/invoice_INVOICE_0001_tampered.pdf,tampered,spacing_alter,invoice,INVOICE_0001
tampered/embedding_mismatch/invoice_INVOICE_0001_tampered.pdf,tampered,embedding_mismatch,invoice,INVOICE_0001
genuine/invoice_INVOICE_0002_genuine.pdf,genuine,none,invoice,INVOICE_0002
tampered/font_change/invoice_INVOICE_0002_tampered.pdf,tampered,font_change,invoice,INVOICE_0002
tampered/character_replace/invoice_INVOICE_0002_tampered.pdf,tampered,character_replace,invoice,INVOICE_0002
tampered/spacing_alter/invoice_INVOICE_0002_tampered.pdf,tampered,spacing_alter,invoice,INVOICE_0002
tampered/embedding_mismatch/invoice_INVOICE_0002_tampered.pdf,tampered,embedding_mismatch,invoice,INVOICE_0002
genuine/invoice_INVOICE_0003_genuine.pdf,genuine,none,invoice,INVOICE_0003
tampered/font_change/invoice_INVOICE_0003_tampered.pdf,tampered,font_change,invoice,INVOICE_0003
tampered/character_replace/invoice_INVOICE_0003_tampered.pdf,tampered,character_replace,invoice,INVOICE_0003
tampered/spacing_alter/invoice_INVOICE_0003_tampered.pdf,tampered,spacing_alter,invoice,INVOICE_0003
tampered/embedding_mismatch/invoice_INVOICE_0003_tampered.pdf,tampered,embedding_mismatch,invoice,INVOICE_0003
genuine/bank_statement_BANK_STATEMENT_0004_genuine.pdf,genuine,none,bank_statement,BANK_STATEMENT_0004
tampered/font_change/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,font_change,bank_statement,BANK_STATEMENT_0004
tampered/character_replace/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,character_replace,bank_statement,BANK_STATEMENT_0004
tampered/spacing_alter/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,spacing_alter,bank_statement,BANK_STATEMENT_0004
tampered/embedding_mismatch/bank_statement_BANK_STATEMENT_0004_tampered.pdf,tampered,embedding_mismatch,bank_statement,BANK_STATEMENT_0004
genuine/vehicle_registration_VEHICLE_REGISTRATION_0005_genuine.pdf,genuine,none,vehicle_registration,VEHICLE_REGISTRATION_0005
tampered/font_change/vehicle_registration_VEHICLE_REGISTRATION_0005_tampered.pdf,tampered,font_change,vehicle_registration,VEHICLE_REGISTRATION_0005
tampered/character_replace/vehicle_registration_VEHICLE_REGISTRATION_0005_tampered.pdf,tampered,character_replace,vehicle_registration,VEHICLE_REGISTRATION_0005
tampered/spacing_alter/vehicle_registration_VEHICLE_REGISTRATION_0005_tampered.pdf,tampered,spacing_alter,vehicle_registration,VEHICLE_REGISTRATION_0005
tampered/embedding_mismatch/vehicle_registration_VEHICLE_REGISTRATION_0005_tampered.pdf,tampered,embedding_mismatch,vehicle_registration,VEHICLE_REGISTRATION_0005
genuine/legal_contract_LEGAL_CONTRACT_0006_genuine.pdf,genuine,none,legal_contract,LEGAL_CONTRACT_0006
tampered/font_change/legal_contract_LEGAL_CONTRACT_0006_tampered.pdf,tampered,font_change,legal_contract,LEGAL_CONTRACT_0006
tampered/character_replace/legal_contract_LEGAL_CONTRACT_0006_tampered.pdf,tampered,character_replace,legal_contract,LEGAL_CONTRACT_0006
tampered/spacing_alter/legal_contract_LEGAL_CONTRACT_0006_tampered.pdf,tampered,spacing_alter,legal_contract,LEGAL_CONTRACT_0006
tampered/embedding_mismatch/legal_contract_LEGAL_CONTRACT_0006_tampered.pdf,tampered,embedding_mismatch,legal_contract,LEGAL_CONTRACT_0006
genuine/legal_contract_LEGAL_CONTRACT_0007_genuine.pdf,genuine,none,legal_contract,LEGAL_CONTRACT_0007
tampered/font_change/legal_contract_LEGAL_CONTRACT_0007_tampered.pdf,tampered,font_change,legal_contract,LEGAL_CONTRACT_0007
